Fiscal Year,Agency Name,Title Description,Base Salary,Pay Basis,Regular Hours,Regular Gross Paid,Total Other Pay
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMPUTER OPERATIONS MANAGER                                 ,$156000.00, per Annum,1831,$154890.90,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$50458.00, per Annum,1830,$46996.63,$1033.50
2016,DISTRICT ATTORNEY-MANHATTAN   ,CLERICAL ASSOCIATE                          ,$34396.00, per Annum,537.07,$10619.84,$1382.63
2016,DISTRICT ATTORNEY-MANHATTAN   ,COLLEGE AIDE                                                ,$1.00, per Hour,0,$3500.00,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$43299.00, per Annum,1830,$41388.72,$1074.25
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$83500.00, per Annum,1831,$83019.97,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COLLEGE AIDE                                                ,$1.00, per Hour,0,$500.00,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,REPORTER/ STENOGRAPHER                                      ,$66739.00, per Annum,1830,$72848.33,$33.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$86000.00, per Annum,1830,$85168.46,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$38554.00, per Annum,1830,$38135.57,$4952.55
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$63000.00, per Annum,1488,$48957.00,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ADMINISTRATIVE COMMUNITY RELATIONS SPECIALIST               ,$136615.00, per Annum,1831,$135609.47,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY COORDINATOR                                       ,$82995.00, per Annum,1830,$78793.32,$795.70
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$94500.00, per Annum,1830,$93716.08,$2750.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$38332.00, per Annum,1830,$37916.14,$795.70
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$43299.00, per Annum,1518.55,$37067.38,$90.75
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$51121.00, per Annum,1830,$49379.90,$307.71
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$176250.00, per Annum,1830,$183429.23,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSISTANT                                         ,$33800.00, per Annum,1813,$29877.63,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$71500.00, per Annum,1830,$71205.45,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$58796.00, per Annum,1830,$52747.82,$8.25
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$52084.00, per Annum,1830,$49979.92,$24.75
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$68500.00, per Annum,1830,$70328.13,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY COORDINATOR                                       ,$63677.00, per Annum,1830,$62993.21,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$71500.00, per Annum,1831,$71748.08,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$185000.00, per Annum,1830,$189227.61,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COLLEGE AIDE                                                ,$1.00, per Hour,0,$3500.00,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$63000.00, per Annum,1488,$49057.00,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSISTANT                                         ,$37239.00, per Annum,1820.25,$36645.56,$1216.10
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$71500.00, per Annum,1830,$72525.45,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$50458.00, per Annum,1830,$46996.63,$758.25
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSISTANT                                         ,$35091.00, per Annum,1830,$33864.15,$3274.92
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$37541.00, per Annum,1040,$19385.87,$758.25
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$125000.00, per Annum,1830,$123960.22,$1000.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$37541.00, per Annum,1649,$31781.38,$239.25
2016,DISTRICT ATTORNEY-MANHATTAN   ,ADMINISTRATIVE PROJECT MANAGER                              ,$137500.00, per Annum,1831,$136489.67,$582.42
2016,DISTRICT ATTORNEY-MANHATTAN   ,COLLEGE AIDE                                                ,$1.00, per Hour,0,$1000.00,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$39236.00, per Annum,0,$638.82,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$82000.00, per Annum,1831,$81286.00,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$43299.00, per Annum,1830,$41212.52,$1241.25
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$45841.00, per Annum,1765,$43729.07,$25.25
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY COORDINATOR                                       ,$123518.00, per Annum,1830,$122187.30,$795.70
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$48223.00, per Annum,1830,$47062.25,$17.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,CITY CUSTODIAL ASSISTANT                                    ,$39818.00, per Annum,2091.42,$39385.99,$5916.87
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$38421.00, per Annum,375,$5878.64,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ADMINISTRATIVE COMMUNITY RELATIONS SPECIALIST               ,$87897.00, per Annum,1831,$88054.26,$250.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,CITY CUSTODIAL ASSISTANT                                    ,$32549.00, per Annum,2091.42,$29415.16,$463.90
2016,DISTRICT ATTORNEY-MANHATTAN   ,COLLEGE AIDE                                                ,$12.00, per Hour,1687,$20523.00,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$37541.00, per Annum,1830,$35732.92,$41.25
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSISTANT                                         ,$42803.00, per Annum,1830,$42203.59,$109.85
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$41000.00, per Annum,1830,$40559.81,$1000.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$42090.00, per Annum,70,$1610.00,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$170000.00, per Annum,1831,$171077.68,$2000.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$41000.00, per Annum,1830,$40559.81,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$80000.00, per Annum,1210,$56295.63,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$50458.00, per Annum,1830,$48389.43,$8.25
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$44312.00, per Annum,1830,$43836.02,$8.25
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$78000.00, per Annum,1830,$78490.90,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$37541.00, per Annum,1830,$37137.71,$81.75
2016,DISTRICT ATTORNEY-MANHATTAN   ,COLLEGE AIDE                                                ,$1.00, per Hour,0,$500.00,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$50458.00, per Annum,1830,$49085.83,$1000.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$85000.00, per Annum,1831,$84178.06,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$48926.00, per Annum,1830,$45227.34,$75.25
2016,DISTRICT ATTORNEY-MANHATTAN   ,COLLEGE AIDE                                                ,$1.00, per Hour,0,$500.00,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ADMINISTRATION PUBLIC RECORD OFFICER                        ,$142500.00, per Annum,1831,$141463.06,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$167750.00, per Annum,1831,$166486.26,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY COORDINATOR                                       ,$81089.00, per Annum,440,$27688.45,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,PRINCIPAL ACCOUNTANT INVESTIGATOR                           ,$86750.00, per Annum,1831,$86102.84,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$178000.00, per Annum,1830,$183049.90,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$129000.00, per Annum,1830,$127915.70,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$151000.00, per Annum,1830,$149881.56,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$42336.00, per Annum,1830,$41881.31,$1061.34
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$39841.00, per Annum,1652.42,$36016.78,$41.25
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$112500.00, per Annum,1831,$111923.24,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSISTANT                                         ,$34266.00, per Annum,1815.68,$31443.92,$8.25
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$37541.00, per Annum,1810,$35031.62,$990.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$43299.00, per Annum,1830,$41212.52,$198.50
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$166000.00, per Annum,1830,$164741.49,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$55829.00, per Annum,1830,$54281.37,$1263.53
2016,DISTRICT ATTORNEY-MANHATTAN   ,CITY LABORER                                                ,$296.92, per Day,2091.42,$77199.20,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$37541.00, per Annum,130,$718.00,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$41296.00, per Annum,1830,$38194.49,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$63000.00, per Annum,1488,$50257.00,$906.25
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$62500.00, per Annum,1488,$48055.09,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$39841.00, per Annum,1759.73,$38307.84,$41.75
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$146000.00, per Annum,1830,$144848.18,$0.00
2016,POLICE DEPARTMENT,TRAFFIC ENFORCEMENT AGENT,$37307.00,per Annum,0,$739.88,$27.17
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY COORDINATOR                                       ,$60730.00, per Annum,1215,$37168.16,$8.25
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$171000.00, per Annum,1830,$169714.64,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$98500.00, per Annum,268,$19012.75,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,PRINCIPAL ADMINISTRATIVE ASSOCIATE    ,$86842.00, per Annum,1830,$80741.71,$3824.72
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$37541.00, per Annum,200,$2153.99,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$62500.00, per Annum,1488,$48695.09,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$161250.00, per Annum,1831,$160260.82,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$50000.00, per Annum,795,$19125.70,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$118500.00, per Annum,1831,$117499.21,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$46817.00, per Annum,860.82,$19643.05,$712.91
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$56000.00, per Annum,1830,$49947.38,$2043.24
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$40000.00, per Annum,1306,$26469.84,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$94500.00, per Annum,1808,$93716.08,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,CLERICAL ASSOCIATE                          ,$48301.00, per Annum,1830,$47777.92,$4424.50
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$82000.00, per Annum,1830,$81702.85,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSISTANT                                         ,$37272.00, per Annum,1830,$36867.26,$4029.15
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$112500.00, per Annum,1831,$111623.24,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$71500.00, per Annum,1831,$71148.08,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$37674.00, per Annum,63.97,$3071.49,$24.75
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY COORDINATOR                                       ,$58781.00, per Annum,302.9,$6714.30,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,PRINCIPAL ACCOUNTANT INVESTIGATOR                           ,$90000.00, per Annum,1040,$131271.62,$1500.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$37541.00, per Annum,1826.37,$36431.32,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,PAINTER                                                     ,$278.53, per Day,1830,$75244.89,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$115500.00, per Annum,1495,$93466.13,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$195000.00, per Annum,1830,$201959.33,$0.00
2016,POLICE DEPARTMENT,P.O. DA DET GR3,$90822.00,per Annum,2091.42,$89919.65,$17532.71
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$46732.00, per Annum,1830,$46230.09,$795.70
2016,DISTRICT ATTORNEY-MANHATTAN   ,COLLEGE AIDE                                                ,$1.00, per Hour,0,$1000.00,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,DIRECTOR OF PUBLIC INFORMATION                              ,$115000.00, per Annum,1831,$96573.64,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$74000.00, per Annum,1831,$73374.76,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$37541.00, per Annum,1810,$35031.62,$1002.82
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$56394.00, per Annum,1830,$55288.20,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$170250.00, per Annum,1830,$179341.46,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$145000.00, per Annum,1830,$143760.39,$750.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$39236.00, per Annum,302.03,$8302.87,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$45330.00, per Annum,1630.68,$41792.86,$1228.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$125500.00, per Annum,1830,$124637.66,$1500.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$179250.00, per Annum,1830,$186293.36,$1000.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$166000.00, per Annum,1830,$164741.49,$500.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COLLEGE AIDE                                                ,$1.00, per Hour,0,$3500.00,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$37541.00, per Annum,1800.4,$37137.71,$8.25
2016,DISTRICT ATTORNEY-MANHATTAN   ,COUNTY DETECTIVE                                            ,$45507.00, per Annum,1830,$46011.80,$10119.26
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$100500.00, per Annum,1831,$99503.12,$2000.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$37541.00, per Annum,130,$718.00,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$42528.00, per Annum,1830,$42071.32,$738.77
2016,DISTRICT ATTORNEY-MANHATTAN   ,COLLEGE AIDE                                                ,$1.00, per Hour,0,$3500.00,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$56296.00, per Annum,1830,$55697.71,$2000.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,SPECIAL OFFICER                                             ,$31644.00, per Annum,510.78,$9237.32,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$59302.00, per Annum,1823,$56452.06,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ADMINISTRATIVE CHIEF                                        ,$159611.00, per Annum,1831,$158390.67,$718.80
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$78000.00, per Annum,1830,$77350.90,$0.00
2016,POLICE DEPARTMENT,POLICE OFFICER,$78026.00,per Annum,2091.42,$83453.96,$17879.42
2016,DISTRICT ATTORNEY-MANHATTAN   ,PRINCIPAL ADMINISTRATIVE ASSOCIATE    ,$51578.00, per Annum,939.25,$23808.59,$1825.36
2016,DISTRICT ATTORNEY-MANHATTAN   ,COLLEGE AIDE                                                ,$1.00, per Hour,0,$1000.00,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$44408.00, per Annum,0,$1780.44,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$78000.00, per Annum,1831,$77353.51,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,CITY LABORER                                                ,$286.92, per Day,1984.67,$70770.61,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$37541.00, per Annum,1661.82,$32061.95,$99.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$68500.00, per Annum,1831,$68214.70,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$51496.00, per Annum,1378,$40762.42,$119.54
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$37541.00, per Annum,1658.95,$32005.12,$992.02
2016,DISTRICT ATTORNEY-MANHATTAN   ,COLLEGE AIDE                                                ,$1.00, per Hour,0,$1000.00,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$38869.00, per Annum,115.75,$6192.90,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY COORDINATOR                                       ,$60000.00, per Annum,445,$11475.40,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$133500.00, per Annum,1831,$132639.10,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ADMINISTRATIVE COMMUNITY RELATIONS SPECIALIST               ,$90000.00, per Annum,1831,$86481.39,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$48588.00, per Annum,1830,$48061.88,$2517.09
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$83000.00, per Annum,740,$37427.65,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$89000.00, per Annum,1831,$88828.63,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$65000.00, per Annum,1831,$66314.92,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$37541.00, per Annum,1013.75,$23059.87,$16.50
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$74500.00, per Annum,1831,$74332.19,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,CITY CUSTODIAL ASSISTANT                                    ,$38338.00, per Annum,2091.42,$37926.33,$2490.10
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$89000.00, per Annum,1830,$88725.49,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$144750.00, per Annum,1831,$143931.29,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ADMINISTRATIVE PROJECT MANAGER                              ,$147693.00, per Annum,1831,$146628.35,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$120500.00, per Annum,1613,$111629.26,$0.00
2016,POLICE DEPARTMENT,SERGEANT,$84652.00,per Annum,2091.42,$88667.72,$17316.94
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$93500.00, per Annum,1830,$93141.45,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$131000.00, per Annum,1830,$129928.25,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$37541.00, per Annum,1497.67,$32268.72,$761.01
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$170000.00, per Annum,1831,$173692.75,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,OFFICE ASSISTANT                                            ,$47040.00, per Annum,1830,$46530.42,$808.80
2016,DISTRICT ATTORNEY-MANHATTAN   ,ADMINISTRATIVE EDUCATION ANALYST                            ,$115974.00, per Annum,1831,$115078.58,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$84000.00, per Annum,1831,$83275.26,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$40075.00, per Annum,1830,$38505.57,$738.57
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$39841.00, per Annum,1057.92,$24448.63,$394.26
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$80500.00, per Annum,1474,$60660.93,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COLLEGE AIDE                                                ,$1.00, per Hour,0,$1000.00,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COLLEGE AIDE                                                ,$1.00, per Hour,0,$3500.00,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,SECRETARY                                                   ,$83868.00, per Annum,1070,$52485.95,$3580.45
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$56959.00, per Annum,1830,$56342.99,$795.70
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSISTANT                                         ,$33650.00, per Annum,1787.87,$31467.02,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$43299.00, per Annum,900,$19046.87,$690.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$41615.00, per Annum,1830,$41168.14,$8.25
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$37541.00, per Annum,1830,$37137.71,$1099.50
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$42266.00, per Annum,1830,$39888.64,$3.28
2016,DISTRICT ATTORNEY-MANHATTAN   ,ENGINEERING TECHNICIAN                                      ,$42917.00, per Annum,1830,$42456.01,$3108.19
2016,DISTRICT ATTORNEY-MANHATTAN   ,REPORTER/ STENOGRAPHER                                      ,$78873.00, per Annum,1830,$82913.72,$772.78
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$38421.00, per Annum,795,$14696.60,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$156000.00, per Annum,1830,$154794.71,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY COORDINATOR                                       ,$76930.00, per Annum,1830,$75829.48,$795.70
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$65000.00, per Annum,1830,$65533.38,$0.00
